name,phe
Bienenstich aus Hefeteig fettreich (mit Buttermilch zubereitet),307
Käsekuchen aus Hefeteig fettreich,286
Bienenstich aus Hefeteig fettreich,297
Streuselkuchen aus Hefeteig fettreich,290
Brioches ohne Füllung,360
Butterkuchen aus Hefeteig fettreich,308
Plattenkuchen aus Hefeteig fettreich,361
Zuckerkuchen aus Hefeteig fettreich,335
Hamburger Kaffeebrot aus Hefeteig fettreich,296
Mandelbrot aus Hefeteig fettreich,370
Mandelkuchen aus Hefeteig fettreich,414
Rosenkuchen aus Hefeteig fettreich,292
Dresdner Stollen aus Hefeteig fettreich,295
Dresdner Stollen aus Hefeteig fettreich (mit Wasser zubereitet),275
Mohnstollen aus Hefeteig fettreich,419
Marzipanstollen aus Hefeteig fettreich,323
Marzipanstollen aus Hefeteig fettreich (ohne Flüssigkeit zubereitet),337
Plunder-Kranz aus Hefeteig fettreich,343
Nusskranz aus Hefeteig fettreich,310
Mandelkranz aus Hefeteig fettreich,375
Bienenstichkranz aus Hefeteig fettreich,310
Mohnkranz aus Hefeteig fettreich,361
Braunschweiger Hefekuchen aus Hefeteig fettreich,297
Thüringer Obstkuchen aus Hefeteig fettreich,294
Gedeckter Apfelblechkuchen aus Hefeteig fettreich,129
Kuchen aus Quarkölteig,496
Rosenkuchen aus Quarkölteig,385
Mohn-Gitter-Torte aus Quarkölteig,436
Gerollte Schnitte aus Quarkölteig,338
Quark-Tasche aus Quarkölteig,496
Schinken-Röllchen aus Quarkölteig,518
Kuchen aus Mürbeteig,155
Käsekuchen aus Mürbeteig,432
Napfkuchen aus Mürbeteig,430
Nusskuchen aus Mürbeteig,370
Käsekuchen aus Mürbeteig (mit Wasser zubereitet),412
Käsekuchen aus Mürbeteig (ohne Flüssigkeit zubereitet),469
Käsekuchen aus Mürbeteig (mit Buttermilch zubereitet),436
Zwetschgenkuchen aus Mürbeteig,155
Mandeltorte (Mazarin-Torte) aus Mürbeteig,430
Haselnuss-Kranz aus Mürbeteig,370
Kuchen aus Blätterteig,416
Französische Apfeltorte aus Blätterteig,107
Kuchen eiweißarm glutenfrei natriumarm,21
Teekuchen glutenfrei,264
Kuchen/Torten aus Strudelteig,458
Wiener Apfel-Strudel,102
Apfelstrudel,108
Kirschstrudel,146
Quarkstrudel,458
"Kirschstrudel (mit Milch 3,5% Fett zubereitet)",163
Plätzchen aus Baisermasse,478
Russisch-Brot aus Baisermasse,478
Baiser,329
Schokoladen-Baiser,427
Zimtsterne aus Baisermasse,678
Zuckerlis aus Baisermasse,695
Wespennester aus Baisermasse,592
Maiskeks glutenfrei,253
Schokokeks glutenfrei,317
Zitronenkeks glutenfrei,150
Müslikeks glutenfrei,461
Löffelbiskuit glutenfrei,425
Haselnussgebäck glutenfrei,234
Waffeln glutenfrei,157
Gewürzgebäck glutenfrei,133
Joghurtriegel glutenfrei,358
Waffelmassenbackwaren,307
Waffeln,307
Eiswaffeln,322
Waffelkeks,322
Sahnewaffel,307
Sandwaffel,454
Apfelwaffel,440
Gewürzwaffel,390
Schinkenwaffel,704
Käsewaffel,659
Diabetikergebäck,627
Eiswaffeln für Diabetiker,452
Haferkeks für Diabetiker,627
Waffeln eiweißarm glutenfrei,25
Kleinteile aus Hartkeksteig,391
Butterkeks,391
Feinbackwaren aus Strudelteig,537
Lebkuchenteigbackwaren,524
Dominosteine,320
Weißer Lebkuchen,374
Elisenlebkuchen,524
Lebkuchen,554
Schokoladen-Lebkuchen,607
Printen,438
Nussprinten,438
Schokoladen-Printen,377
Back-Oblaten (50mmØ),365
Pfeffernüsse,374
Nürnberger Lebkuchen,352
Liegnitzer,342
Feiner Honigkuchen,368
Ostpreußischer Honigkuchen,315
Dicker Honigkuchen,309
Pfefferkuchen,351
Sirupkuchen,309
Kathrinchen (Honigteigplätzchen),296
Honigkuchenplätzchen,295
Pflastersteine,264
Honigkuchenhäufchen,287
Ölsamenmassenbackwaren,303
Makronen,652
Kokosmakronen,303
Mandelmakronen,800
Schokoladen-Kokosmakronen,407
Schokoladen-Haselnussmakronen,550
Marzipan-Monde,724
Baumkuchenmassenbackwaren,421
Baumkuchen,421
Plätzchen Kekse,309
Zedernbrot,485
Raspeli,310
Haferflockenplätzchen,405
Haferflocken-Nussgebäck,415
Springerle,333
Baklava,309
Aprikosen-Krapfen (mit Wasser zubereitet),145
Aprikosen-Krapfen,149
Apfelscheiben in Rumteig,133
Bananen im Ausbackteig,212
Plätzchen aus Biskuitmasse,615
Schokoladen-Biskuitplätzchen,619
Löffelbiskuit aus Biskuitmasse,615
Biskuitplätzchen,569
Biskuitkapseln,615
Anisplätzchen aus Biskuitmasse,431
Amerikanische Cookies,322
Orangenplätzchen aus Biskuitmasse,282
Plätzchen eiweißarm glutenfrei natriumarm,20
Plätzchen aus Brandmasse,289
Flockentorte aus Brandmasse,189
Preiselbeer-Kranz aus Brandmasse,242
Käse-Windbeutel aus Brandmasse,402
Fettgebackenes aus Brandmasse,401
Eberswalder Spritzkuchen aus Brandmasse,284
Plätzchen aus Mürbeteig,409
Spritzgebäck aus Rührteig,348
Spekulatius aus Mürbeteig,409
Käsemürbeteigplätzchen,758
Teegebäck aus Mürbeteig,360
Fettgebackenes aus Mürbeteig,331
Silvester-Rosen aus Mürbeteig,530
Vanille-Mürbchen,263
Aprikosen-Mandel-Schnitten aus Mürbeteig,326
Nusstaler aus Mürbeteig,363
Streuselplätzchen aus Mürbeteig,331
Schoko-Eierlikör-Kränzchen aus Mürbeteig,277
Erdnuss-Teilchen aus Mürbeteig,580
Schwarz-Weiß-Gebäck aus Mürbeteig,329
Nussecken aus Mürbeteig,379
Dukatenplätzchen aus Mürbeteig,358
Mandelgebäck aus Mürbeteig,445
Buttergebäck aus Mürbeteig,309
Husarenkrapfen aus Mürbeteig,346
Haselnusskugeln aus Mürbeteig,394
Nussstangen aus Mürbeteig,348
Spitzbuben aus Mürbeteig,402
Orangentäschchen aus Mürbeteig,355
Haselnuss-Dreispitz aus Mürbeteig,435
Käseknusperchen aus Mürbeteig,610
Plätzchen aus Hefeteig energiereduziert,356
Berliner (Pfannkuchen) aus Hefeteig energiereduziert,406
Hörnchen aus Hefeteig energiereduziert,356
Kartoffelhörnchen aus Mürbeteig,275
Nusshörnchen aus Hefeteig fettreich,345
Wiener Hörnchen aus Hefeteig fettreich,306
Butterhörnchen aus Hefeteig energiereduziert,353
Mohnhörnchen aus Hefeteig energiereduziert,423
Fettgebackenes aus Hefeteig energiereduziert,406
Schoko-Donut,408
Schnecken aus Hefeteig energiereduziert,375
Hefe-Boller aus Hefeteig fettreich,262
Buchteln aus Hefeteig fettreich,315
Berliner (Pfannkuchen) aus Hefeteig energiereduziert (mit Wasser zubereitet),376
Donut,391
Marzipan-Krokant-Gebäck aus Hefeteig fettreich,454
Plätzchen aus Rührmasse,249
Amerikaner aus Rührmasse,249
Streuselschnecke,290
Haselnussberge aus Rührmasse,581
Cremeschnitte aus Rührmasse,287
Heidesand aus Rührmasse,210
Marzipanstange aus Rührmasse,460
Fettgebackenes aus Rührmasse,424
Hobelspäne aus Rührmasse,391
Schnecken aus Hefeteig,285
Feine Nussplätzchen aus Rührmasse,507
Kokosschnitte aus Rührmasse,362
Haselnussschnitte aus Rührmasse,528
Vanillekipferl aus Rührmasse,388
Zitronenherz aus Rührmasse,549
Mandelkranz aus Rührmasse,450
Mandelhörnchen aus Rührmasse,422
Plätzchen aus Sandmasse,210
Blätterteig Kleinteile,537
Käsegebäck aus Blätterteig,537
Schweinsohren aus Blätterteig,271
Kaffeegebäck aus Blätterteig,382
Erdbeerschnitte aus Blätterteig,131
Aprikosenteilchen aus Blätterteig,180
Himbeer-Sahne in Pasteten aus Blätterteig,168
Hörnchen aus Blätterteig,387
Croissant aus Blätterteig,353
Blätterteigbrötchen,432
Croissant aus Plunderteig,322
Schinkenhörnchen aus Blätterteig,504
Plätzchen aus Plunderteig,375
Plundergebäck,320
Haselnuss-Plunderstreifen,329
Marzipan-Plundergebäck,375
Schokoladen-Vollkornkeks,555
Apfelkeks aus Vollkornteig,320
Vollkornbackwaren,640
Müslikeks aus Vollkornteig,407
Backwarenerzeugnisse,276
Butter-Mürbeteigboden,332
Streusel roh,250
Backmischung für Kuchen,348
Backmischung für Streuselteig,348
Backmischung für Nusskuchen,348
Backmischung für Zitronenkuchen,348
Backmischung für Obstkuchen,348
Nuss-Nougat-Törtchen aus Backmischung,187
Feigentörtchen aus Backmischung,160
Waffeltörtchen aus Backmischung,251
Pflaumen-Streuselkuchen aus Backmischung,101
Apfelkuchen Hannover aus Backmischung,77
Eier roh,635
Eiweißpulver,4575
Wachtelei roh,635
Hühnerei Vollei pochiert,635
Hühnerei Eiweiß pochiert,635
Hühnerei,635
Hühnerei roh,635
Hühnerei Vollei,635
Hühnerei Vollei roh,800
Hühnerei Vollei frittiert (zubereitet ohne Fett),672
Hühnerei Vollei Pulver,2790
Hühnerei Eiweiß,655
Hühnerei Eiweiß roh,760
Hühnerei Eiweiß Pulver,4575
Entenei,814
Entenei roh,814
Entenei Vollei roh,940
Gänseei,812
Gänseei roh,812
Gänseei Vollei roh,812
Putenei,803
Putenei roh,803
Putenei Vollei roh,803
Teigwaren roh,600
Teigwaren eifrei roh,604
Teigwaren eifrei Schnitt-/Bandnudeln roh,604
Teigwaren eifrei Spaghetti roh,604
Teigwaren eifrei Makkaroni roh,604
Teigwaren eifrei Suppennudeln roh,604
Teigwaren eifrei Hörnchen roh,604
Teigwaren eifrei Eiergräupchen roh,604
Eierteigwaren roh,600
Eierteigwaren Spaghetti roh,640
Eierteigwaren Makkaroni roh,600
Eierteigwaren Schnitt-/Bandnudeln roh,600
Eierteigwaren Suppennudeln roh,600
Eierteigwaren Hörnchen roh,600
Eierteigwaren Eiergräupchen roh,600
Eierteigwaren Spätzle roh,444
Eierteigwaren Spätzle Konserve,444
Eierteigwaren Spätzle Konserve mikrowellenerwärmt,164
Frischeiteigwaren roh,581
Vegetarische Ravioli roh,424
Vollkornteigwaren roh,622
Vollkornteigwaren eifrei roh,622
Vollkorneierteigwaren roh,578
Vollkornfrischeiteigwaren roh,637
Teigwaren besonderer Art roh,527
Teigwaren eifrei aus Hartweizengrieß roh,604
Schupfnudeln roh,243
Semmelknödel roh,359
Grießnockerln roh,279
Böhmische Knödel roh,385
Teigwaren besonderer Art eifrei roh,503
Teigwaren glutenfrei,24
Sojateigwaren roh,767
Sojateigwaren Bandnudeln roh,767
Eierteigwaren besonderer Art roh,527
Eierteigwaren aus Weizen roh,600
Frischeiteigwaren besonderer Art roh,584
Vollkornteigwaren eifrei besonderer Art roh,603
Vollkornteigwaren eifrei aus Weizen roh,622
Nudelteig Nudelerzeugnis roh,718
Spaghetti Bolognese energiereduziert,428
Suppennudeln Konserve,125
Obst,11
Obst roh,11
Obst Pulpe,11
Obst Fruchtsaft,10
Obst Fruchtnektar,5
Obst Konfitüre,4
Mehrfruchtsaft,16
Mehrfruchtnektar,8
Apfel/Karotten Fruchtsaft,14
Pfirsich/Maracuja Fruchtsaft,52
Aprikose/Orange Fruchtnektar,13
Aprikose/Orange Fruchtsaft,24
Fruchtaufstrich,57
Fruchtaufstrich Erdbeere,57
Fruchtaufstrich Aprikose,57
Obstgemüse roh,31
Rhabarber,31
Rhabarber roh,17
Rhabarber Konzentrat,527
Rhabarber Fruchtsaft,29
Rhabarber Fruchtnektar,7
Rhabarber Konfitüre,11
Rhabarber Konserve,16
Obstmischung,25
Obstmischung roh,25
Obstmischung Konzentrat,88
Obstmischung Fruchtsaft,34
Obstmischung Fruchtnektar,17
Obstmischung Konfitüre,12
Kernobst,11
Kernobst roh,11
Apfel,11
Apfel roh,9
Apfel Konzentrat,56
Apfel Fruchtsaft (Ohne Zuckerzusatz),10
Apfel Fruchtnektar,5
Apfel Konfitüre,4
Apfel Fruchtsaft,2
Birne,18
Birne roh,18
Birne Konzentrat,98
Birne Fruchtsaft,17
Birne Fruchtnektar,9
Birne Konfitüre,7
Quitte,14
Quitte roh,14
Quitte Konzentrat,110
Quitte Fruchtsaft,14
Quitte Fruchtnektar,7
Quitte Konfitüre,6
Mispel,16
Mispel roh,16
Mispel Konzentrat,95
Mispel Fruchtsaft,16
Steinobst,23
Steinobst roh,23
Aprikose / Marille,37
Aprikose roh,37
Aprikose Konzentrat,228
Aprikose Fruchtsaft,33
Aprikose Fruchtnektar,13
Aprikose Konfitüre,13
Nektarine,28
Nektarine roh,28
Nektarine Konzentrat,141
Nektarine Fruchtsaft,26
Nektarine Fruchtnektar,12
Nektarine Konfitüre,10
Pfirsich,23
Pfirsich roh,18
Pfirsich Konzentrat,162
Pfirsich Fruchtsaft,22
Pfirsich Fruchtnektar,10
Pfirsich Konfitüre,9
Kirschen,18
Kirschen roh,18
Süßkirsche,18
Süßkirsche roh,16
Süßkirsche Konzentrat,84
Süßkirsche Fruchtsaft,17
Süßkirsche Fruchtnektar,7
Sauerkirsche,18
Sauerkirsche roh,18
Sauerkirsche Konzentrat,98
Sauerkirsche Fruchtsaft,6
Sauerkirsche Fruchtnektar,2
Sauerkirsche Konfitüre,11
Pflaumen,19
Pflaumen roh,19
Pflaumen Konzentrat,112
Pflaumen Fruchtsaft,18
Pflaumen Fruchtnektar,5
Pflaumen Konfitüre,10
Rundpflaume roh,19
Eierpflaume,19
Eierpflaume roh,19
Zwetschge,19
Zwetschge roh,19
Zwetschge Konzentrat,123
Zwetschge Fruchtsaft,18
Zwetschge Fruchtnektar,5
Zwetschge Konfitüre,7
Mirabelle,24
Mirabelle roh,24
Mirabelle Konzentrat,112
Mirabelle Fruchtsaft,22
Mirabelle Fruchtnektar,7
Mirabelle Konfitüre,9
Reineclaude,25
Reineclaude roh,25
Reineclaude Konzentrat,124
Reineclaude Fruchtsaft,23
Reineclaude Fruchtnektar,7
Reineclaude Konfitüre,9
Beerenobst,28
Beerenobst roh,28
Erdbeere,28
Erdbeere roh,25
Erdbeere Konzentrat,245
Erdbeere Fruchtsaft,26
Erdbeere Fruchtnektar,10
Erdbeerkonfitüre,10
Himbeere,49
Himbeere roh,49
Himbeere Konzentrat,383
Himbeere Fruchtsaft,12
Himbeere Fruchtnektar,5
Himbeere Konfitüre,17
Brombeere,46
Brombeere roh,46
Brombeere Konzentrat,307
Brombeere Fruchtsaft,42
Brombeere Fruchtnektar,17
Brombeere Konfitüre,19
Heidelbeere,33
Heidelbeere roh,33
Heidelbeere Konzentrat,269
Heidelbeere Fruchtsaft,32
Heidelbeere Fruchtnektar,13
Heidelbeere Konfitüre,15
Stachelbeere,31
Stachelbeere roh,31
Stachelbeere Konzentrat,226
Stachelbeere Fruchtsaft,29
Stachelbeere Fruchtnektar,9
Stachelbeere Konfitüre,11
Loganbeere,42
Loganbeere roh,42
Loganbeere Konzentrat,392
Loganbeere Fruchtsaft,39
Loganbeere Fruchtnektar,10
Loganbeere Konfitüre,15
Boysenbeere,19
Boysenbeere roh,19
Boysenbeere Konzentrat,138
Boysenbeere Fruchtsaft,18
Boysenbeere Fruchtnektar,5
Boysenbeere Konfitüre,7
Weintrauben,17
Weintrauben roh,14
Weintrauben frittiert (zubereitet ohne Fett),19
Weintrauben Konzentrat,73
Weintrauben Fruchtsaft,5
Weintrauben Fruchtnektar,3
Weintraube rot,17
Weintraube rot roh,17
Weintraube rot Konzentrat,73
Weintraube rot Fruchtsaft,16
Weintraube rot Fruchtnektar,8
Weintraube weiß,17
Weintraube weiß roh,17
Weintraube weiß Konzentrat,73
Weintraube weiß Fruchtsaft,16
Weintraube weiß Fruchtnektar,8
Heidelbeer-Konfitüre extra,14
Johannisbeeren,43
Johannisbeeren roh,43
Johannisbeeren Konzentrat,333
Johannisbeeren Fruchtsaft,39
Johannisbeeren Fruchtnektar,10
Johannisbeere rot,43
Johannisbeere rot roh,43
Johannisbeere rot Konzentrat,333
Johannisbeere rot Fruchtsaft,39
Johannisbeere rot Fruchtnektar,15
Johannisbeere rot Konfitüre,17
Johannisbeere weiß,34
Johannisbeere weiß roh,34
Johannisbeere weiß Konzentrat,218
Johannisbeere weiß Fruchtsaft,31
Johannisbeere weiß Fruchtnektar,8
Johannisbeere weiß Konfitüre,13
Johannisbeere schwarz,48
Johannisbeere schwarz roh,48
Johannisbeere schwarz Konzentrat,303
Johannisbeere schwarz Fruchtsaft,44
Johannisbeere schwarz Fruchtnektar,16
Johannisbeere schwarz Konfitüre,18
Maulbeere,49
Maulbeere roh,49
Maulbeere Konzentrat,297
Maulbeere Fruchtsaft,44
Maulbeere Fruchtnektar,11
Maulbeere Konfitüre,18
Wildfrüchte,17
Wildfrüchte roh,17
Preiselbeere / Kronsbeere,17
Preiselbeere roh,17
Preiselbeere Konzentrat,144
Preiselbeere Fruchtsaft,16
Preiselbeere Fruchtnektar,5
Preiselbeere Konfitüre,6
Hagebutte,225
Hagebutte roh,225
Hagebutte Konzentrat,617
Hagebutte Konfitüre,29
Schlehe,47
Schlehe roh,47
Schlehe Fruchtsaft,46
Vogelbeere /Eberesche,94
Vogelbeere roh,94
Vogelbeere Konzentrat,283
Vogelbeere Konfitüre,35
Sanddornbeere,89
Sanddornbeere roh,89
Sanddornbeere Konzentrat,480
Sanddornbeere Fruchtsaft,59
Sanddornbeere Fruchtnektar,15
Sanddornbeere Konfitüre,33
Holunderbeere,158
Holunderbeere roh,158
Holunderbeere Konzentrat,928
Holunderbeere Fruchtsaft,126
Holunderbeere Fruchtnektar,50
Moosbeere,22
Moosbeere roh,22
Moosbeere Konzentrat,168
Moosbeere Fruchtsaft,21
Moosbeere Fruchtnektar,5
Torfbeere/Multbeere,22
Wald-Erdbeere,28
Wald-Erdbeere roh,28
Wald-Himbeere,49
Wald-Himbeere roh,49
Wald-Brombeere,46
Wald-Brombeere roh,46
Südfrüchte,44
Südfrüchte roh,44
Ananas,17
Ananas roh,17
Ananas frittiert (zubereitet ohne Fett),18
Ananas Konzentrat,90
Ananas Fruchtsaft,15
Ananas Fruchtnektar,8
Ananas Konfitüre,6
Avocado,78
Avocado roh,60
Avocado Konzentrat,311
Avocado Konfitüre,29
Banane,44
Banane roh,34
Banane frittiert (zubereitet ohne Fett),45
Banane Konzentrat,147
Banane Fruchtnektar,10
Banane Konfitüre,17
Dattel,84
Dattel roh,84
Dattel Konzentrat,91
Dattel Fruchtsaft,88
Dattel Fruchtnektar,22
Feige,36
Feige roh,36
Feige Konzentrat,171
Granatapfel,27
Granatapfel roh,27
Granatapfel Konzentrat,109
Granatapfel Konfitüre,10
Kaki/Kakipflaume/Persimone,37
Kaki roh,34
Kaki Konzentrat,145
Kaki Fruchtsaft,31
Kaki Fruchtnektar,8
Kaki Konfitüre,13
Passionsfrucht / Maracuja,91
Passionsfrucht roh,91
Passionsfrucht Konzentrat,374
Passionsfrucht Fruchtsaft,30
Passionsfrucht Fruchtnektar,8
Passionsfrucht Konfitüre,34
Acerola/westindische Kirsche,8
Acerola roh,8
Acerola Konzentrat,120
Acerola Fruchtsaft,7
Acerola Fruchtnektar,2
Acerola Konfitüre,3
Cashewapfel /-birne,38
Cashewapfel roh,38
Cashewapfel Konzentrat,221
Cashewapfel Fruchtnektar,22
Cashewapfel Konfitüre,14
Guave,3
Guave roh,3
Guave Konzentrat,26
Guave Fruchtsaft,3
Guave Fruchtnektar,1
Guave Konfitüre,1
