name,phe
Mohnhörnchen aus Hefeteig energiereduziert,423
Fettgebackenes aus Hefeteig energiereduziert,406
Schoko-Donut,408
Schnecken aus Hefeteig energiereduziert,375
Hefe-Boller aus Hefeteig fettreich,262
Buchteln aus Hefeteig fettreich,315
Berliner (Pfannkuchen) aus Hefeteig energiereduziert (mit Wasser zubereitet),376
Donut,391
Marzipan-Krokant-Gebäck aus Hefeteig fettreich,454
Plätzchen aus Rührmasse,249
Amerikaner aus Rührmasse,249
Streuselschnecke,290
Haselnussberge aus Rührmasse,581
Cremeschnitte aus Rührmasse,287
Heidesand aus Rührmasse,210
Marzipanstange aus Rührmasse,460
Fettgebackenes aus Rührmasse,424
Hobelspäne aus Rührmasse,391
Schnecken aus Hefeteig,285
Feine Nussplätzchen aus Rührmasse,507
Kokosschnitte aus Rührmasse,362
Haselnussschnitte aus Rührmasse,528
Vanillekipferl aus Rührmasse,388
Zitronenherz aus Rührmasse,549
Mandelkranz aus Rührmasse,450
Mandelhörnchen aus Rührmasse,422
Plätzchen aus Sandmasse,210
Blätterteig Kleinteile,537
Käsegebäck aus Blätterteig,537
Schweinsohren aus Blätterteig,271
Kaffeegebäck aus Blätterteig,382
Erdbeerschnitte aus Blätterteig,131
Aprikosenteilchen aus Blätterteig,180
Himbeer-Sahne in Pasteten aus Blätterteig,168
Hörnchen aus Blätterteig,387
Croissant aus Blätterteig,353
Blätterteigbrötchen,432
Croissant aus Plunderteig,322
Schinkenhörnchen aus Blätterteig,504
Plätzchen aus Plunderteig,375
Plundergebäck,320
Haselnuss-Plunderstreifen,329
Marzipan-Plundergebäck,375
Schokoladen-Vollkornkeks,555
Apfelkeks aus Vollkornteig,320
Vollkornbackwaren,640
Müslikeks aus Vollkornteig,407
Backwarenerzeugnisse,276
Butter-Mürbeteigboden,332
Streusel roh,250
Backmischung für Kuchen,348
Backmischung für Streuselteig,348
Backmischung für Nusskuchen,348
Backmischung für Zitronenkuchen,348
Backmischung für Obstkuchen,348
Nuss-Nougat-Törtchen aus Backmischung,187
Feigentörtchen aus Backmischung,160
Waffeltörtchen aus Backmischung,251
Pflaumen-Streuselkuchen aus Backmischung,101
Apfelkuchen Hannover aus Backmischung,77
Eier roh,635
Eiweißpulver,4575
Wachtelei roh,635
Hühnerei Vollei pochiert,635
Hühnerei Eiweiß pochiert,635
Hühnerei,635
Hühnerei roh,635
Hühnerei Vollei,635
Hühnerei Vollei roh,800
Hühnerei Vollei frittiert (zubereitet ohne Fett),672
Hühnerei Vollei Pulver,2790
Hühnerei Eiweiß,655
Hühnerei Eiweiß roh,760
Hühnerei Eiweiß Pulver,4575
Entenei,814
Entenei roh,814
Entenei Vollei roh,940
Gänseei,812
Gänseei roh,812
Gänseei Vollei roh,812
Putenei,803
Putenei roh,803
Putenei Vollei roh,803
Teigwaren roh,600
Teigwaren eifrei roh,604
Teigwaren eifrei Schnitt-/Bandnudeln roh,604
Teigwaren eifrei Spaghetti roh,604
Teigwaren eifrei Makkaroni roh,604
Teigwaren eifrei Suppennudeln roh,604
Teigwaren eifrei Hörnchen roh,604
Teigwaren eifrei Eiergräupchen roh,604
Eierteigwaren roh,600
Eierteigwaren Spaghetti roh,640
Eierteigwaren Makkaroni roh,600
Eierteigwaren Schnitt-/Bandnudeln roh,600
Eierteigwaren Suppennudeln roh,600
Eierteigwaren Hörnchen roh,600
Eierteigwaren Eiergräupchen roh,600
Eierteigwaren Spätzle roh,444
Eierteigwaren Spätzle Konserve,444
Eierteigwaren Spätzle Konserve mikrowellenerwärmt,164
Frischeiteigwaren roh,581
Vegetarische Ravioli roh,424
Vollkornteigwaren roh,622
Vollkornteigwaren eifrei roh,622
Vollkorneierteigwaren roh,578
Vollkornfrischeiteigwaren roh,637
Teigwaren besonderer Art roh,527
Teigwaren eifrei aus Hartweizengrieß roh,604
Schupfnudeln roh,243
Semmelknödel roh,359
Grießnockerln roh,279
Böhmische Knödel roh,385
Teigwaren besonderer Art eifrei roh,503
Teigwaren glutenfrei,24
Sojateigwaren roh,767
Sojateigwaren Bandnudeln roh,767
Eierteigwaren besonderer Art roh,527
Eierteigwaren aus Weizen roh,600
Frischeiteigwaren besonderer Art roh,584
Vollkornteigwaren eifrei besonderer Art roh,603
Vollkornteigwaren eifrei aus Weizen roh,622
Nudelteig Nudelerzeugnis roh,718
Spaghetti Bolognese energiereduziert,428
Suppennudeln Konserve,125
Obst,11
Obst roh,11
Obst Pulpe,11
Obst Fruchtsaft,10
Obst Fruchtnektar,5
Obst Konfitüre,4
Mehrfruchtsaft,16
Mehrfruchtnektar,8
Apfel/Karotten Fruchtsaft,14
Pfirsich/Maracuja Fruchtsaft,52
Aprikose/Orange Fruchtnektar,13
Aprikose/Orange Fruchtsaft,24
Fruchtaufstrich,57
Fruchtaufstrich Erdbeere,57
Fruchtaufstrich Aprikose,57
Obstgemüse roh,31
Rhabarber,31
Rhabarber roh,17
Rhabarber Konzentrat,527
Rhabarber Fruchtsaft,29
Rhabarber Fruchtnektar,7
Rhabarber Konfitüre,11
Rhabarber Konserve,16
Obstmischung,25
Obstmischung roh,25
Obstmischung Konzentrat,88
Obstmischung Fruchtsaft,34
Obstmischung Fruchtnektar,17
Obstmischung Konfitüre,12
Kernobst,11
Kernobst roh,11
Apfel,11
Apfel roh,9
Apfel Konzentrat,56
Apfel Fruchtsaft (Ohne Zuckerzusatz),10
Apfel Fruchtnektar,5
Apfel Konfitüre,4
Apfel Fruchtsaft,2
Birne,18
Birne roh,18
Birne Konzentrat,98
Birne Fruchtsaft,17
Birne Fruchtnektar,9
Birne Konfitüre,7
Quitte,14
Quitte roh,14
Quitte Konzentrat,110
Quitte Fruchtsaft,14
Quitte Fruchtnektar,7
Quitte Konfitüre,6
Mispel,16
Mispel roh,16
Mispel Konzentrat,95
Mispel Fruchtsaft,16
Steinobst,23
Steinobst roh,23
Aprikose / Marille,37
Aprikose roh,37
Aprikose Konzentrat,228
Aprikose Fruchtsaft,33
